game_id,season,week,gameday,gametime,home_team,away_team,home_score,away_score,result,total,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface
2024_04_PIT_IND,2024,4,2024-09-29,13:00,IND,PIT,27.0,24.0,3.0,51.0,-2.5,40.0,110.0,-130.0,Lucas Oil Stadium,closed,fieldturf
2024_04_DEN_NYJ,2024,4,2024-09-29,13:00,NYJ,DEN,9.0,10.0,-1.0,19.0,7.5,39.5,-425.0,330.0,MetLife Stadium,outdoors,fieldturf
2024_04_PHI_TB,2024,4,2024-09-29,13:00,TB,PHI,33.0,16.0,17.0,49.0,-1.0,42.0,-105.0,-115.0,Raymond James Stadium,outdoors,grass
2024_04_WAS_ARI,2024,4,2024-09-29,16:05,ARI,WAS,14.0,42.0,-28.0,56.0,3.5,49.0,-180.0,150.0,State Farm Stadium,closed,grass
2024_04_NE_SF,2024,4,2024-09-29,16:05,SF,NE,30.0,13.0,17.0,43.0,10.5,41.5,-550.0,410.0,Levi's Stadium,outdoors,grass
2024_04_KC_LAC,2024,4,2024-09-29,16:25,LAC,KC,10.0,17.0,-7.0,27.0,-7.5,41.5,275.0,-345.0,SoFi Stadium,dome,matrixturf
2024_04_CLE_LV,2024,4,2024-09-29,16:25,LV,CLE,20.0,16.0,4.0,36.0,-2.5,36.5,114.0,-135.0,Allegiant Stadium,dome,grass
2024_04_BUF_BAL,2024,4,2024-09-29,20:20,BAL,BUF,35.0,10.0,25.0,45.0,2.5,46.5,-135.0,114.0,M&T Bank Stadium,outdoors,grass
2024_04_TEN_MIA,2024,4,2024-09-30,19:30,MIA,TEN,12.0,31.0,-19.0,43.0,2.5,37.0,-135.0,114.0,Hard Rock Stadium,outdoors,grass
2024_04_SEA_DET,2024,4,2024-09-30,20:15,DET,SEA,42.0,29.0,13.0,71.0,3.5,46.5,-185.0,154.0,Ford Field,dome,fieldturf
2024_05_TB_ATL,2024,5,2024-10-03,20:15,ATL,TB,36.0,30.0,6.0,66.0,2.5,44.0,-142.0,120.0,Mercedes-Benz Stadium,closed,fieldturf
2024_05_NYJ_MIN,2024,5,2024-10-06,09:30,MIN,NYJ,23.0,17.0,6.0,40.0,2.5,42.0,-142.0,120.0,Tottenham Stadium,outdoors,grass
2024_05_CAR_CHI,2024,5,2024-10-06,13:00,CHI,CAR,36.0,10.0,26.0,46.0,4.0,40.0,-198.0,164.0,Soldier Field,outdoors,grass
2024_05_BAL_CIN,2024,5,2024-10-06,13:00,CIN,BAL,38.0,41.0,-3.0,79.0,-2.5,48.5,124.0,-148.0,Paycor Stadium,outdoors,fieldturf
2024_05_BUF_HOU,2024,5,2024-10-06,13:00,HOU,BUF,23.0,20.0,3.0,43.0,1.0,48.0,-118.0,-102.0,NRG Stadium,closed,astroturf
2024_05_IND_JAX,2024,5,2024-10-06,13:00,JAX,IND,37.0,34.0,3.0,71.0,3.5,45.0,-185.0,154.0,TIAA Bank Stadium,outdoors,grass
2024_05_MIA_NE,2024,5,2024-10-06,13:00,NE,MIA,10.0,15.0,-5.0,25.0,-2.0,37.0,110.0,-130.0,Gillette Stadium,outdoors,fieldturf
2024_05_CLE_WAS,2024,5,2024-10-06,13:00,WAS,CLE,34.0,13.0,21.0,47.0,3.0,44.0,-155.0,130.0,FedExField,outdoors,grass
2024_05_LV_DEN,2024,5,2024-10-06,16:05,DEN,LV,34.0,18.0,16.0,52.0,3.0,36.0,-155.0,130.0,Empower Field at Mile High,outdoors,grass
2024_05_ARI_SF,2024,5,2024-10-06,16:05,SF,ARI,23.0,24.0,-1.0,47.0,7.0,48.5,-325.0,260.0,Levi's Stadium,outdoors,grass
2024_05_GB_LA,2024,5,2024-10-06,16:25,LA,GB,19.0,24.0,-5.0,43.0,-3.0,49.5,130.0,-155.0,SoFi Stadium,dome,matrixturf
2024_05_NYG_SEA,2024,5,2024-10-06,16:25,SEA,NYG,20.0,29.0,-9.0,49.0,7.0,42.5,-310.0,250.0,Lumen Field,outdoors,fieldturf
2024_05_DAL_PIT,2024,5,2024-10-06,20:20,PIT,DAL,17.0,20.0,-3.0,37.0,2.5,43.5,-135.0,114.0,Acrisure Stadium,outdoors,grass
2024_05_NO_KC,2024,5,2024-10-07,20:15,KC,NO,26.0,13.0,13.0,39.0,5.5,43.0,-230.0,190.0,GEHA Field at Arrowhead Stadium,outdoors,grass
2024_06_SF_SEA,2024,6,2024-10-10,20:15,SEA,SF,24.0,36.0,-12.0,60.0,-3.5,49.0,164.0,-198.0,Lumen Field,outdoors,fieldturf
2024_06_JAX_CHI,2024,6,2024-10-13,09:30,CHI,JAX,35.0,16.0,19.0,51.0,-1.5,44.5,100.0,-120.0,Tottenham Stadium,outdoors,grass
2024_06_WAS_BAL,2024,6,2024-10-13,13:00,BAL,WAS,30.0,23.0,7.0,53.0,6.5,51.5,-285.0,230.0,M&T Bank Stadium,outdoors,grass
2024_06_ARI_GB,2024,6,2024-10-13,13:00,GB,ARI,34.0,13.0,21.0,47.0,5.5,47.0,-238.0,195.0,Lambeau Field,outdoors,grass
2024_06_HOU_NE,2024,6,2024-10-13,13:00,NE,HOU,21.0,41.0,-20.0,62.0,-6.5,38.5,215.0,-265.0,Gillette Stadium,outdoors,fieldturf
2024_06_TB_NO,2024,6,2024-10-13,13:00,NO,TB,27.0,51.0,-24.0,78.0,-3.5,42.5,145.0,-175.0,Mercedes-Benz Superdome,dome,sportturf
2024_06_CLE_PHI,2024,6,2024-10-13,13:00,PHI,CLE,20.0,16.0,4.0,36.0,8.0,42.0,-425.0,330.0,Lincoln Financial Field,outdoors,grass
2024_06_IND_TEN,2024,6,2024-10-13,13:00,TEN,IND,17.0,20.0,-3.0,37.0,2.5,42.0,-135.0,114.0,Nissan Stadium,outdoors,grass
2024_06_LAC_DEN,2024,6,2024-10-13,16:05,DEN,LAC,16.0,23.0,-7.0,39.0,-3.0,37.0,130.0,-155.0,Empower Field at Mile High,outdoors,grass
2024_06_PIT_LV,2024,6,2024-10-13,16:05,LV,PIT,13.0,32.0,-19.0,45.0,-3.5,36.5,150.0,-180.0,Allegiant Stadium,dome,grass
2024_06_ATL_CAR,2024,6,2024-10-13,16:25,CAR,ATL,20.0,38.0,-18.0,58.0,-6.0,45.5,210.0,-258.0,Bank of America Stadium,outdoors,grass
2024_06_DET_DAL,2024,6,2024-10-13,16:25,DAL,DET,9.0,47.0,-38.0,56.0,-3.5,52.5,150.0,-180.0,AT&T Stadium,closed,matrixturf
2024_06_CIN_NYG,2024,6,2024-10-13,20:20,NYG,CIN,7.0,17.0,-10.0,24.0,-4.5,46.0,190.0,-230.0,MetLife Stadium,outdoors,fieldturf
2024_06_BUF_NYJ,2024,6,2024-10-14,20:15,NYJ,BUF,20.0,23.0,-3.0,43.0,-1.0,42.0,102.0,-122.0,MetLife Stadium,outdoors,fieldturf
2024_07_DEN_NO,2024,7,2024-10-17,20:15,NO,DEN,10.0,33.0,-23.0,43.0,-2.5,37.0,124.0,-148.0,Mercedes-Benz Superdome,dome,sportturf
2024_07_NE_JAX,2024,7,2024-10-20,09:30,JAX,NE,32.0,16.0,16.0,48.0,6.5,42.0,-298.0,240.0,Wembley Stadium,outdoors,grass
2024_07_SEA_ATL,2024,7,2024-10-20,13:00,ATL,SEA,14.0,34.0,-20.0,48.0,3.0,51.5,-162.0,136.0,Mercedes-Benz Stadium,closed,fieldturf
2024_07_TEN_BUF,2024,7,2024-10-20,13:00,BUF,TEN,34.0,10.0,24.0,44.0,9.5,41.0,-535.0,400.0,New Era Field,outdoors,a_turf
2024_07_CIN_CLE,2024,7,2024-10-20,13:00,CLE,CIN,14.0,21.0,-7.0,35.0,-5.5,42.0,190.0,-230.0,FirstEnergy Stadium,outdoors,grass
2024_07_HOU_GB,2024,7,2024-10-20,13:00,GB,HOU,24.0,22.0,2.0,46.0,3.0,48.0,-170.0,142.0,Lambeau Field,outdoors,grass
2024_07_MIA_IND,2024,7,2024-10-20,13:00,IND,MIA,16.0,10.0,6.0,26.0,3.0,44.0,-155.0,130.0,Lucas Oil Stadium,closed,fieldturf
2024_07_DET_MIN,2024,7,2024-10-20,13:00,MIN,DET,29.0,31.0,-2.0,60.0,1.0,50.5,-118.0,-102.0,U.S. Bank Stadium,dome,sportturf
2024_07_PHI_NYG,2024,7,2024-10-20,13:00,NYG,PHI,3.0,28.0,-25.0,31.0,-3.0,42.0,140.0,-166.0,MetLife Stadium,outdoors,fieldturf
2024_07_LV_LA,2024,7,2024-10-20,16:05,LA,LV,20.0,15.0,5.0,35.0,7.0,43.0,-355.0,280.0,SoFi Stadium,dome,matrixturf
2024_07_CAR_WAS,2024,7,2024-10-20,16:05,WAS,CAR,40.0,7.0,33.0,47.0,10.0,51.0,-535.0,400.0,FedExField,outdoors,grass
2024_07_KC_SF,2024,7,2024-10-20,16:25,SF,KC,18.0,28.0,-10.0,46.0,2.5,47.5,-142.0,120.0,Levi's Stadium,outdoors,grass
2024_07_NYJ_PIT,2024,7,2024-10-20,20:20,PIT,NYJ,37.0,15.0,22.0,52.0,-3.0,40.0,140.0,-166.0,Acrisure Stadium,outdoors,grass
2024_07_BAL_TB,2024,7,2024-10-21,20:15,TB,BAL,31.0,41.0,-10.0,72.0,-4.5,51.0,185.0,-225.0,Raymond James Stadium,outdoors,grass
2024_07_LAC_ARI,2024,7,2024-10-21,21:00,ARI,LAC,17.0,15.0,2.0,32.0,-1.0,44.0,102.0,-122.0,State Farm Stadium,closed,grass
2024_08_MIN_LA,2024,8,2024-10-24,20:15,LA,MIN,30.0,20.0,10.0,50.0,-3.0,47.5,130.0,-155.0,SoFi Stadium,dome,matrixturf
2024_08_PHI_CIN,2024,8,2024-10-27,13:00,CIN,PHI,17.0,37.0,-20.0,54.0,2.5,47.5,-148.0,124.0,Paycor Stadium,outdoors,fieldturf
2024_08_BAL_CLE,2024,8,2024-10-27,13:00,CLE,BAL,29.0,24.0,5.0,53.0,-7.5,44.5,300.0,-380.0,FirstEnergy Stadium,outdoors,grass
2024_08_TEN_DET,2024,8,2024-10-27,13:00,DET,TEN,52.0,14.0,38.0,66.0,12.5,45.0,-800.0,550.0,Ford Field,dome,fieldturf
2024_08_IND_HOU,2024,8,2024-10-27,13:00,HOU,IND,23.0,20.0,3.0,43.0,5.0,45.0,-225.0,185.0,NRG Stadium,closed,astroturf
2024_08_GB_JAX,2024,8,2024-10-27,13:00,JAX,GB,27.0,30.0,-3.0,57.0,-3.5,49.0,160.0,-192.0,TIAA Bank Stadium,outdoors,grass
2024_08_ARI_MIA,2024,8,2024-10-27,13:00,MIA,ARI,27.0,28.0,-1.0,55.0,4.0,46.5,-198.0,164.0,Hard Rock Stadium,outdoors,grass
2024_08_NYJ_NE,2024,8,2024-10-27,13:00,NE,NYJ,25.0,22.0,3.0,47.0,-7.0,41.0,245.0,-305.0,Gillette Stadium,outdoors,fieldturf
2024_08_ATL_TB,2024,8,2024-10-27,13:00,TB,ATL,26.0,31.0,-5.0,57.0,-1.5,47.0,102.0,-122.0,Raymond James Stadium,outdoors,grass
2024_08_NO_LAC,2024,8,2024-10-27,16:05,LAC,NO,26.0,8.0,18.0,34.0,7.0,41.5,-310.0,250.0,SoFi Stadium,dome,matrixturf
2024_08_BUF_SEA,2024,8,2024-10-27,16:05,SEA,BUF,10.0,31.0,-21.0,41.0,-3.0,45.5,142.0,-170.0,Lumen Field,outdoors,fieldturf
2024_08_CAR_DEN,2024,8,2024-10-27,16:25,DEN,CAR,28.0,14.0,14.0,42.0,13.0,40.5,-750.0,525.0,Empower Field at Mile High,outdoors,grass
2024_08_KC_LV,2024,8,2024-10-27,16:25,LV,KC,20.0,27.0,-7.0,47.0,-9.0,42.0,340.0,-440.0,Allegiant Stadium,dome,grass
