game_id,team,season,week,total_epa,success_rate,total_yards,total_plays,pass_plays,rush_plays,touchdowns,interceptions,fumbles_lost,epa_per_play,yards_per_play
2024_02_PIT_DEN,DEN,2024,2,-9.117475,0.4473684,295.0,77,44.0,17.0,0.0,2.0,0.0,-0.11840876046713296,3.831168831168831
2024_02_PIT_DEN,PIT,2024,2,-0.7749721,0.37804878,251.0,82,33.0,33.0,1.0,0.0,0.0,-0.00945087903883399,3.0609756097560976
2024_02_SEA_NE,NE,2024,2,2.2807128,0.4883721,310.0,87,33.0,35.0,2.0,0.0,0.0,0.026215090148750394,3.5632183908045976
2024_02_SEA_NE,SEA,2024,2,5.331903,0.52873564,358.0,87,51.0,17.0,2.0,0.0,0.0,0.06128624115867176,4.114942528735632
2024_02_SF_MIN,MIN,2024,2,-3.639125,0.5294118,403.0,69,31.0,20.0,2.0,1.0,1.0,-0.05274094360462134,5.840579710144928
2024_02_SF_MIN,SF,2024,2,-11.309824,0.49411765,396.0,85,44.0,26.0,2.0,1.0,1.0,-0.1330567528219784,4.658823529411765
2024_02_TB_DET,DET,2024,2,-8.158046,0.45,463.0,100,58.0,26.0,1.0,2.0,0.0,-0.08158045768737793,4.63
2024_02_TB_DET,TB,2024,2,-1.1802707,0.46031746,216.0,64,28.0,19.0,2.0,1.0,0.0,-0.018441729247570038,3.375
2024_03_BAL_DAL,BAL,2024,3,10.145622,0.4691358,456.0,82,18.0,43.0,4.0,0.0,0.0,0.12372710065143865,5.560975609756097
2024_03_BAL_DAL,DAL,2024,3,6.100405,0.41237113,412.0,97,64.0,16.0,3.0,0.0,1.0,0.06289077542491794,4.247422680412371
2024_03_CAR_LV,CAR,2024,3,15.014189,0.5217391,437.0,93,43.0,29.0,4.0,0.0,0.0,0.16144288996214506,4.698924731182796
2024_03_CAR_LV,LV,2024,3,-6.0397267,0.525,333.0,80,49.0,15.0,3.0,1.0,0.0,-0.07549658417701721,4.1625
2024_03_CHI_IND,CHI,2024,3,-12.905305,0.39423078,395.0,104,60.0,29.0,2.0,2.0,1.0,-0.12408947027646579,3.798076923076923
2024_03_CHI_IND,IND,2024,3,-8.920434,0.4027778,306.0,73,23.0,30.0,3.0,2.0,0.0,-0.12219772600147823,4.191780821917808
2024_03_DEN_TB,DEN,2024,3,7.2311225,0.56790125,352.0,81,43.0,24.0,2.0,0.0,1.0,0.08927311720671477,4.345679012345679
2024_03_DEN_TB,TB,2024,3,-18.755836,0.4857143,223.0,71,41.0,16.0,1.0,1.0,1.0,-0.2641667110819212,3.140845070422535
2024_03_DET_ARI,ARI,2024,3,-9.797624,0.4722222,277.0,72,42.0,17.0,1.0,1.0,0.0,-0.1360781060324775,3.8472222222222223
2024_03_DET_ARI,DET,2024,3,-0.62349117,0.5294118,373.0,86,26.0,40.0,3.0,1.0,0.0,-0.007249897302583207,4.337209302325581
2024_03_GB_TEN,GB,2024,3,5.0609446,0.4074074,378.0,81,26.0,37.0,2.0,0.0,0.0,0.062480797002344955,4.666666666666667
2024_03_GB_TEN,TEN,2024,3,-16.828178,0.5,237.0,69,45.0,9.0,3.0,2.0,1.0,-0.24388664356176404,3.4347826086956523
2024_03_HOU_MIN,HOU,2024,3,-22.524845,0.3372093,296.0,86,55.0,11.0,1.0,2.0,0.0,-0.26191680375919785,3.441860465116279
2024_03_HOU_MIN,MIN,2024,3,9.474586,0.49367088,274.0,80,35.0,27.0,4.0,0.0,0.0,0.11843231916427613,3.425
2024_03_JAX_BUF,BUF,2024,3,26.637735,0.54545456,388.0,78,39.0,24.0,6.0,0.0,0.0,0.3415094277797601,4.9743589743589745
2024_03_JAX_BUF,JAX,2024,3,-14.4728565,0.42696628,239.0,89,53.0,18.0,1.0,1.0,1.0,-0.16261636541130836,2.6853932584269664
2024_03_KC_ATL,ATL,2024,3,-0.4800172,0.46052632,311.0,76,36.0,24.0,2.0,1.0,0.0,-0.006316015594883969,4.092105263157895
2024_03_KC_ATL,KC,2024,3,7.4595885,0.57471263,345.0,88,42.0,29.0,2.0,1.0,0.0,0.08476805145090277,3.9204545454545454
2024_03_LAC_PIT,LAC,2024,3,-7.1214767,0.41935483,166.0,62,26.0,20.0,1.0,0.0,0.0,-0.11486252661674254,2.6774193548387095
2024_03_LAC_PIT,PIT,2024,3,3.9453735,0.49382716,346.0,82,37.0,29.0,2.0,1.0,0.0,0.04811431140434451,4.219512195121951
2024_03_MIA_SEA,MIA,2024,3,-28.91107,0.32911393,205.0,79,42.0,19.0,0.0,0.0,0.0,-0.36596290974677365,2.5949367088607596
2024_03_MIA_SEA,SEA,2024,3,-5.6263485,0.4177215,370.0,80,38.0,24.0,3.0,2.0,0.0,-0.07032935619354248,4.625
2024_03_NE_NYJ,NE,2024,3,-13.873465,0.42857143,139.0,64,39.0,13.0,0.0,0.0,1.0,-0.2167728841304779,2.171875
2024_03_NE_NYJ,NYJ,2024,3,10.344914,0.5232558,400.0,86,43.0,30.0,3.0,0.0,0.0,0.12028970274814339,4.651162790697675
2024_03_NYG_CLE,CLE,2024,3,-20.636223,0.4390244,219.0,82,51.0,15.0,2.0,0.0,2.0,-0.25166125413848134,2.6707317073170733
2024_03_NYG_CLE,NYG,2024,3,-13.0617695,0.43333334,340.0,91,41.0,27.0,3.0,0.0,2.0,-0.14353592841179816,3.7362637362637363
2024_03_PHI_NO,NO,2024,3,-10.608101,0.3529412,219.0,68,28.0,27.0,1.0,1.0,0.0,-0.15600148369284236,3.2205882352941178
2024_03_PHI_NO,PHI,2024,3,-8.120209,0.38554215,462.0,84,46.0,22.0,2.0,1.0,1.0,-0.09666915166945685,5.5
2024_03_SF_LA,LA,2024,3,11.780796,0.5,296.0,74,33.0,26.0,3.0,0.0,0.0,0.15919994663547826,4.0
2024_03_SF_LA,SF,2024,3,11.641344,0.5176471,425.0,86,43.0,28.0,3.0,0.0,1.0,0.1353644659352857,4.941860465116279
2024_03_WAS_CIN,CIN,2024,3,23.119942,0.58441556,436.0,77,43.0,19.0,4.0,0.0,0.0,0.3002589832652699,5.662337662337662
2024_03_WAS_CIN,WAS,2024,3,31.934063,0.6,356.0,76,30.0,26.0,5.0,0.0,0.0,0.42018503891794307,4.684210526315789
2024_04_BUF_BAL,BAL,2024,4,15.000053,0.5416667,427.0,72,21.0,36.0,5.0,0.0,1.0,0.20833407508002388,5.930555555555555
2024_04_BUF_BAL,BUF,2024,4,-11.26462,0.39473686,236.0,77,39.0,20.0,1.0,0.0,1.0,-0.14629376399052607,3.064935064935065
2024_04_CIN_CAR,CAR,2024,4,3.8285701,0.52873564,375.0,88,44.0,26.0,3.0,1.0,0.0,0.04350647872144526,4.261363636363637
2024_04_CIN_CAR,CIN,2024,4,16.654522,0.4939759,373.0,83,36.0,31.0,4.0,1.0,0.0,0.20065689086914062,4.493975903614458
2024_04_CLE_LV,CLE,2024,4,-8.299759,0.39726028,241.0,73,44.0,15.0,1.0,1.0,0.0,-0.11369532754976455,3.3013698630136985
2024_04_CLE_LV,LV,2024,4,-5.610138,0.44,268.0,76,29.0,28.0,3.0,0.0,1.0,-0.07381760446648848,3.526315789473684
2024_04_DAL_NYG,DAL,2024,4,7.7885675,0.52112675,293.0,72,32.0,23.0,2.0,0.0,0.0,0.10817454920874701,4.069444444444445
2024_04_DAL_NYG,NYG,2024,4,1.5188854,0.42168674,303.0,83,44.0,23.0,0.0,1.0,0.0,0.018299823783966433,3.6506024096385543
2024_04_DEN_NYJ,DEN,2024,4,-17.949747,0.36842105,186.0,77,29.0,30.0,1.0,0.0,1.0,-0.23311359851391283,2.4155844155844157
2024_04_DEN_NYJ,NYJ,2024,4,-20.94286,0.34736842,248.0,95,54.0,20.0,0.0,0.0,1.0,-0.22045115420692846,2.610526315789474
2024_04_JAX_HOU,HOU,2024,4,8.952231,0.48351648,435.0,91,51.0,24.0,3.0,0.0,0.0,0.09837616930951129,4.78021978021978
2024_04_JAX_HOU,JAX,2024,4,8.680794,0.46052632,313.0,77,35.0,22.0,2.0,0.0,1.0,0.11273758132736404,4.064935064935065
2024_04_KC_LAC,KC,2024,4,-7.809657,0.46666667,329.0,76,37.0,22.0,2.0,1.0,1.0,-0.10275864601135254,4.328947368421052
2024_04_KC_LAC,LAC,2024,4,-16.519495,0.32,224.0,75,30.0,26.0,1.0,0.0,0.0,-0.2202599334716797,2.986666666666667
2024_04_LA_CHI,CHI,2024,4,4.4520116,0.525641,264.0,79,32.0,26.0,3.0,0.0,0.0,0.05635457702829868,3.3417721518987342
2024_04_LA_CHI,LA,2024,4,3.2882292,0.5263158,322.0,76,35.0,25.0,1.0,1.0,1.0,0.04326617404034263,4.2368421052631575
2024_04_MIN_GB,GB,2024,4,-6.821779,0.4623656,467.0,93,58.0,18.0,4.0,3.0,2.0,-0.07335245993829542,5.021505376344086
2024_04_MIN_GB,MIN,2024,4,0.045793355,0.5,374.0,89,36.0,29.0,4.0,1.0,1.0,0.0005145320731602358,4.202247191011236
2024_04_NE_SF,NE,2024,4,-21.219826,0.43209878,213.0,81,40.0,24.0,2.0,1.0,2.0,-0.2619731573410976,2.6296296296296298
2024_04_NE_SF,SF,2024,4,-1.6241758,0.43421054,431.0,77,31.0,31.0,2.0,1.0,1.0,-0.021093192038598,5.597402597402597
2024_04_NO_ATL,ATL,2024,4,6.123123,0.42465752,315.0,73,40.0,16.0,1.0,1.0,1.0,0.08387839957459332,4.315068493150685
2024_04_NO_ATL,NO,2024,4,4.338807,0.51648355,366.0,92,41.0,33.0,4.0,1.0,0.0,0.0471609468045442,3.9782608695652173
2024_04_PHI_TB,PHI,2024,4,-2.4658477,0.4861111,227.0,72,38.0,18.0,2.0,0.0,1.0,-0.03424788514773051,3.1527777777777777
2024_04_PHI_TB,TB,2024,4,17.762373,0.5106383,445.0,95,52.0,24.0,4.0,0.0,1.0,0.18697234705874793,4.684210526315789
2024_04_PIT_IND,IND,2024,4,1.9923437,0.45783132,358.0,84,35.0,30.0,3.0,0.0,0.0,0.023718376954396565,4.261904761904762
2024_04_PIT_IND,PIT,2024,4,-1.5737203,0.5176471,404.0,85,43.0,26.0,3.0,0.0,2.0,-0.018514356893651624,4.752941176470588
2024_04_SEA_DET,DET,2024,4,22.561499,0.5735294,389.0,69,24.0,26.0,6.0,0.0,0.0,0.3269782411879387,5.63768115942029
2024_04_SEA_DET,SEA,2024,4,8.623463,0.5233645,516.0,107,73.0,17.0,4.0,1.0,1.0,0.08059310913085938,4.822429906542056
2024_04_TEN_MIA,MIA,2024,4,-20.162298,0.36,184.0,76,31.0,29.0,1.0,0.0,1.0,-0.26529339740150853,2.4210526315789473
2024_04_TEN_MIA,TEN,2024,4,3.6129403,0.41860464,244.0,86,24.0,40.0,2.0,1.0,0.0,0.04201093385385912,2.8372093023255816
2024_04_WAS_ARI,ARI,2024,4,-4.3555803,0.5138889,296.0,73,28.0,31.0,2.0,0.0,1.0,-0.059665483971164654,4.054794520547945
2024_04_WAS_ARI,WAS,2024,4,31.402477,0.60714287,451.0,84,39.0,32.0,5.0,1.0,0.0,0.3738390150524321,5.369047619047619
2024_05_ARI_SF,ARI,2024,5,1.3577085,0.5,360.0,75,33.0,23.0,3.0,1.0,0.0,0.018102779388427734,4.8
2024_05_ARI_SF,SF,2024,5,-3.5161273,0.48051947,384.0,77,41.0,23.0,1.0,2.0,1.0,-0.0456639915317684,4.987012987012987
2024_05_BAL_CIN,BAL,2024,5,23.896288,0.58947366,520.0,95,48.0,29.0,5.0,0.0,1.0,0.2515398728220086,5.473684210526316
2024_05_BAL_CIN,CIN,2024,5,17.410017,0.4945055,444.0,92,44.0,23.0,5.0,1.0,0.0,0.18923931536467178,4.826086956521739
2024_05_BUF_HOU,BUF,2024,5,-2.0794501,0.36585367,276.0,82,35.0,26.0,2.0,0.0,0.0,-0.0253591479324713,3.3658536585365852
2024_05_BUF_HOU,HOU,2024,5,-2.268404,0.44047618,425.0,85,42.0,26.0,2.0,1.0,1.0,-0.026687105964211855,5.0
2024_05_CAR_CHI,CAR,2024,5,-14.799824,0.42105263,292.0,76,42.0,17.0,1.0,1.0,2.0,-0.19473452317087273,3.8421052631578947
2024_05_CAR_CHI,CHI,2024,5,12.281241,0.4494382,424.0,90,39.0,32.0,5.0,0.0,0.0,0.1364582379659017,4.711111111111111
2024_05_CLE_WAS,CLE,2024,5,-16.377625,0.37209302,212.0,87,41.0,21.0,1.0,0.0,1.0,-0.18824855760596265,2.4367816091954024
2024_05_CLE_WAS,WAS,2024,5,3.9479,0.3902439,434.0,82,37.0,29.0,4.0,1.0,1.0,0.04814512264437792,5.2926829268292686
2024_05_DAL_PIT,DAL,2024,5,9.011911,0.49462366,445.0,93,46.0,30.0,2.0,2.0,1.0,0.0969022730345367,4.78494623655914
2024_05_DAL_PIT,PIT,2024,5,2.4153993,0.5064935,226.0,78,32.0,26.0,2.0,0.0,1.0,0.030966657858628493,2.8974358974358974
2024_05_GB_LA,GB,2024,5,0.5094086,0.44155845,328.0,78,30.0,27.0,4.0,1.0,0.0,0.006530879399715326,4.205128205128205
2024_05_GB_LA,LA,2024,5,-6.751165,0.53846157,370.0,91,49.0,29.0,2.0,1.0,1.0,-0.07418862541953286,4.065934065934066
2024_05_IND_JAX,IND,2024,5,15.954333,0.5,447.0,93,51.0,18.0,4.0,0.0,1.0,0.17155197102536437,4.806451612903226
2024_05_IND_JAX,JAX,2024,5,17.859783,0.5263158,497.0,76,35.0,23.0,4.0,1.0,1.0,0.2349971470079924,6.5394736842105265
2024_05_LV_DEN,DEN,2024,5,2.7088196,0.47058824,289.0,86,33.0,24.0,3.0,0.0,0.0,0.0314979026483935,3.36046511627907
2024_05_LV_DEN,LV,2024,5,-14.747894,0.4,332.0,85,46.0,24.0,3.0,3.0,0.0,-0.173504638671875,3.9058823529411764
2024_05_MIA_NE,MIA,2024,5,-4.2246346,0.4065934,372.0,91,39.0,40.0,1.0,1.0,1.0,-0.04642455656449873,4.087912087912088
2024_05_MIA_NE,NE,2024,5,-13.16101,0.4125,299.0,81,40.0,19.0,1.0,0.0,0.0,-0.16248160232732325,3.691358024691358
2024_05_NO_KC,KC,2024,5,9.1451,0.5670103,460.0,98,47.0,34.0,2.0,1.0,0.0,0.09331734326420998,4.6938775510204085
2024_05_NO_KC,NO,2024,5,-5.960792,0.3768116,220.0,69,39.0,14.0,2.0,1.0,0.0,-0.08638829079227171,3.1884057971014492
2024_05_NYG_SEA,NYG,2024,5,-0.66975904,0.5,420.0,87,39.0,31.0,3.0,0.0,1.0,-0.00769837971391349,4.827586206896552
2024_05_NYG_SEA,SEA,2024,5,-13.678444,0.5125,333.0,80,51.0,7.0,2.0,0.0,1.0,-0.17098054885864258,4.1625
2024_05_NYJ_MIN,MIN,2024,5,-6.5188813,0.4347826,253.0,93,43.0,28.0,1.0,1.0,1.0,-0.0700954980747674,2.7204301075268815
2024_05_NYJ_MIN,NYJ,2024,5,-14.571164,0.45555556,254.0,90,58.0,14.0,3.0,3.0,0.0,-0.16190182367960612,2.8222222222222224
2024_05_TB_ATL,ATL,2024,5,15.318331,0.5045872,550.0,110,65.0,20.0,4.0,1.0,0.0,0.1392575524070046,5.0
2024_05_TB_ATL,TB,2024,5,13.531084,0.5522388,333.0,67,31.0,21.0,3.0,0.0,1.0,0.20195647851744694,4.970149253731344
2024_06_ARI_GB,ARI,2024,6,-9.793678,0.49333334,303.0,75,39.0,19.0,1.0,0.0,3.0,-0.1305823771158854,4.04
2024_06_ARI_GB,GB,2024,6,14.326773,0.53846157,437.0,92,37.0,34.0,4.0,1.0,0.0,0.1557257901067319,4.75
2024_06_ATL_CAR,ATL,2024,6,16.517708,0.5365854,425.0,83,31.0,35.0,4.0,0.0,1.0,0.19900852800851845,5.120481927710843
2024_06_ATL_CAR,CAR,2024,6,-7.566344,0.45348838,335.0,86,44.0,22.0,2.0,2.0,0.0,-0.08798074167828228,3.895348837209302
2024_06_BUF_NYJ,BUF,2024,6,10.997968,0.5116279,359.0,87,37.0,28.0,3.0,0.0,0.0,0.12641342206933032,4.126436781609195
2024_06_BUF_NYJ,NYJ,2024,6,5.8578825,0.443038,393.0,79,41.0,22.0,2.0,1.0,0.0,0.07415041138854207,4.974683544303797
2024_06_CIN_NYG,CIN,2024,6,1.1346625,0.46153846,304.0,66,34.0,17.0,2.0,0.0,1.0,0.017191856196432403,4.606060606060606
2024_06_CIN_NYG,NYG,2024,6,-12.041786,0.47252747,309.0,91,48.0,28.0,1.0,1.0,0.0,-0.13232732081151272,3.3956043956043955
2024_06_CLE_PHI,CLE,2024,6,-5.2748666,0.42105263,244.0,76,33.0,24.0,0.0,0.0,0.0,-0.06940613922319915,3.210526315789474
2024_06_CLE_PHI,PHI,2024,6,-0.963416,0.4556962,372.0,80,26.0,32.0,3.0,0.0,0.0,-0.012042699754238129,4.65
2024_06_DET_DAL,DAL,2024,6,-23.331955,0.43529412,251.0,85,53.0,16.0,0.0,3.0,2.0,-0.27449358771829047,2.9529411764705884
2024_06_DET_DAL,DET,2024,6,25.58249,0.5058824,492.0,86,34.0,32.0,5.0,0.0,0.0,0.29747082466302915,5.72093023255814
2024_06_HOU_NE,HOU,2024,6,9.609067,0.44047618,368.0,84,39.0,26.0,5.0,1.0,0.0,0.11439365432375953,4.380952380952381
2024_06_HOU_NE,NE,2024,6,-19.03553,0.45348838,291.0,87,45.0,21.0,3.0,2.0,2.0,-0.21879919644059806,3.3448275862068964
2024_06_IND_TEN,IND,2024,6,1.982416,0.42857143,269.0,84,43.0,27.0,2.0,1.0,0.0,0.02360019087791443,3.2023809523809526
2024_06_IND_TEN,TEN,2024,6,-2.246876,0.40789473,241.0,77,32.0,26.0,2.0,1.0,0.0,-0.029180207809844573,3.1298701298701297
2024_06_JAX_CHI,CHI,2024,6,21.362812,0.5443038,373.0,80,39.0,24.0,5.0,1.0,0.0,0.2670351505279541,4.6625
2024_06_JAX_CHI,JAX,2024,6,0.9593628,0.43589744,278.0,78,44.0,17.0,2.0,1.0,1.0,0.012299523139611268,3.5641025641025643
2024_06_LAC_DEN,DEN,2024,6,-3.433754,0.49295774,316.0,71,44.0,12.0,2.0,1.0,1.0,-0.04836273193359375,4.450704225352113
