Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,team,season
"Tuesday, Jun 4",ARI,Home,SFG,W,8.0,5.0,9.0,29-32,3.0,8.5,Ginkel,Harrison,Sewald,2:59,N,23548.0,.76,4,,ARI,2024
"Wednesday, Jun 5",ARI,Home,SFG,L,3.0,9.0,9.0,29-33,4.0,8.5,Hjelle,Montgomery,None,3:30,D,24178.0,.84,-1,,ARI,2024
"Thursday, Jun 6",ARI,@,SDP,W,4.0,3.0,9.0,30-33,3.0,8.5,Ginkel,Estrada,Sewald,2:51,N,39963.0,.81,1,,ARI,2024
"Friday, Jun 7",ARI,@,SDP,L,3.0,10.0,9.0,30-34,4.0,9.5,King,Pfaadt,None,2:59,N,40341.0,.89,-1,,ARI,2024
"Saturday, Jun 8",ARI,@,SDP,L,1.0,13.0,9.0,30-35,4.0,10.5,Waldron,Nelson,None,2:49,N,42636.0,.79,-2,,ARI,2024
"Sunday, Jun 9",ARI,@,SDP,W,9.0,3.0,9.0,31-35,4.0,9.5,Henry,Mazur,None,3:01,D,41979.0,.67,1,,ARI,2024
"Tuesday, Jun 11",ARI,Home,LAA,W,9.0,4.0,9.0,32-35,4.0,9.5,Montgomery,Suarez,None,3:17,N,20972.0,.70,2,,ARI,2024
"Wednesday, Jun 12",ARI,Home,LAA,L,3.0,8.0,9.0,32-36,4.0,9.5,Soriano,Cecconi,None,2:42,N,19691.0,.75,-1,,ARI,2024
"Thursday, Jun 13",ARI,Home,LAA,W,11.0,1.0,9.0,33-36,4.0,8.5,Pfaadt,Canning,None,2:36,N,18185.0,.69,1,,ARI,2024
"Friday, Jun 14",ARI,Home,CHW,W,7.0,1.0,9.0,34-36,3.0,8.5,Nelson,Flexen,None,2:19,N,23700.0,.76,2,,ARI,2024
"Saturday, Jun 15",ARI,Home,CHW,L,2.0,9.0,9.0,34-37,3.0,8.5,Fedde,Vieira,None,2:57,N,38494.0,.77,-1,,ARI,2024
"Sunday, Jun 16",ARI,Home,CHW,W,12.0,5.0,9.0,35-37,3.0,8.5,Montgomery,Thorpe,None,2:49,D,37694.0,.73,1,,ARI,2024
"Tuesday, Jun 18",ARI,@,WSN,W,5.0,0.0,9.0,36-37,2.0,9.0,Cecconi,Irvin,None,2:19,N,28230.0,.84,2,,ARI,2024
"Wednesday, Jun 19",ARI,@,WSN,L,1.0,3.0,9.0,36-38,2.0,9.0,Law,Pfaadt,Finnegan,2:15,D,20853.0,.88,-1,,ARI,2024
"Thursday, Jun 20",ARI,@,WSN,W,5.0,2.0,9.0,37-38,2.0,9.0,Nelson,Gore,Sewald,2:17,D,21158.0,.85,1,,ARI,2024
"Friday, Jun 21",ARI,@,PHI,W,5.0,4.0,9.0,38-38,2.0,8.0,Montgomery,Walker,Sewald,2:57,N,44436.0,.83,2,,ARI,2024
"Saturday, Jun 22",ARI,@,PHI,L,1.0,12.0,9.0,38-39,3.0,9.0,Wheeler,Henry,None,2:23,D,44288.0,.95,-1,,ARI,2024
"Sunday, Jun 23",ARI,@,PHI,L,1.0,4.0,9.0,38-40,3.0,9.5,Sánchez,Cecconi,None,2:36,D,44079.0,.88,-2,,ARI,2024
"Tuesday, Jun 25",ARI,Home,MIN,W,5.0,4.0,9.0,39-40,3.0,10.0,Ginkel,Alcala,Sewald,2:09,N,21485.0,.76,1,,ARI,2024
"Wednesday, Jun 26",ARI,Home,MIN,L,3.0,8.0,9.0,39-41,3.0,11.0,Woods Richardson,Nelson,None,2:37,N,16396.0,.78,-1,,ARI,2024
"Thursday, Jun 27",ARI,Home,MIN,L,6.0,13.0,9.0,39-42,3.0,11.5,Festa,Montgomery,None,2:56,D,22671.0,.69,-2,,ARI,2024
"Friday, Jun 28",ARI,Home,OAK,L,4.0,9.0,9.0,39-43,4.0,11.5,Alexander,Thompson,None,2:57,N,25846.0,.65,-3,,ARI,2024
"Saturday, Jun 29",ARI,Home,OAK,W,3.0,0.0,9.0,40-43,3.0,11.5,Gallen,Harris,Sewald,2:13,D,39843.0,.57,1,,ARI,2024
"Sunday, Jun 30",ARI,Home,OAK,W,5.0,1.0,9.0,41-43,3.0,10.5,Mantiply,McFarland,None,2:21,D,26413.0,.54,2,,ARI,2024
"Tuesday, Jul 2",ARI,@,LAD,L-wo,5.0,6.0,9.0,41-44,4.0,11.5,Phillips,Sewald,None,2:44,N,52931.0,.76,-1,,ARI,2024
"Wednesday, Jul 3",ARI,@,LAD,W,12.0,4.0,9.0,42-44,3.0,10.5,Jarvis,Yarbrough,None,3:23,N,47965.0,.69,1,,ARI,2024
"Thursday, Jul 4",ARI,@,LAD,W,9.0,3.0,9.0,43-44,3.0,9.5,Martinez,Knack,None,2:48,N,52320.0,.74,2,,ARI,2024
