game_id,season,week,gameday,home_team,away_team,spread_line,total_line,home_moneyline,away_moneyline,home_score,away_score,result,total
2024_12_DEN_LV,2024,12,2024-11-24,LV,DEN,-6.5,41.5,225.0,-278.0,19.0,29.0,-10.0,48.0
2024_12_SF_GB,2024,12,2024-11-24,GB,SF,6.5,44.5,-290.0,235.0,38.0,10.0,28.0,48.0
2024_12_ARI_SEA,2024,12,2024-11-24,SEA,ARI,-1.0,46.5,-105.0,-115.0,16.0,6.0,10.0,22.0
2024_12_PHI_LA,2024,12,2024-11-24,LA,PHI,-3.0,49.0,142.0,-170.0,20.0,37.0,-17.0,57.0
2024_12_BAL_LAC,2024,12,2024-11-25,LAC,BAL,-3.0,51.0,140.0,-166.0,23.0,30.0,-7.0,53.0
2024_13_CHI_DET,2024,13,2024-11-28,DET,CHI,9.5,47.5,-520.0,390.0,23.0,20.0,3.0,43.0
2024_13_NYG_DAL,2024,13,2024-11-28,DAL,NYG,4.5,39.0,-218.0,185.0,27.0,20.0,7.0,47.0
2024_13_MIA_GB,2024,13,2024-11-28,GB,MIA,3.5,47.5,-175.0,145.0,30.0,17.0,13.0,47.0
2024_13_LV_KC,2024,13,2024-11-29,KC,LV,13.5,42.0,-800.0,550.0,19.0,17.0,2.0,36.0
2024_13_LAC_ATL,2024,13,2024-12-01,ATL,LAC,-1.0,47.0,-102.0,-118.0,13.0,17.0,-4.0,30.0
2024_13_PIT_CIN,2024,13,2024-12-01,CIN,PIT,3.0,46.0,-155.0,130.0,38.0,44.0,-6.0,82.0
2024_13_HOU_JAX,2024,13,2024-12-01,JAX,HOU,-3.5,44.5,160.0,-192.0,20.0,23.0,-3.0,43.0
2024_13_ARI_MIN,2024,13,2024-12-01,MIN,ARI,3.5,45.5,-185.0,154.0,23.0,22.0,1.0,45.0
2024_13_IND_NE,2024,13,2024-12-01,NE,IND,-2.5,41.5,114.0,-135.0,24.0,25.0,-1.0,49.0
2024_13_SEA_NYJ,2024,13,2024-12-01,NYJ,SEA,1.0,41.5,-115.0,-105.0,21.0,26.0,-5.0,47.0
2024_13_TEN_WAS,2024,13,2024-12-01,WAS,TEN,6.0,45.0,-250.0,205.0,42.0,19.0,23.0,61.0
2024_13_TB_CAR,2024,13,2024-12-01,CAR,TB,-6.5,46.0,235.0,-290.0,23.0,26.0,-3.0,49.0
2024_13_LA_NO,2024,13,2024-12-01,NO,LA,-2.5,48.5,120.0,-142.0,14.0,21.0,-7.0,35.0
2024_13_PHI_BAL,2024,13,2024-12-01,BAL,PHI,3.0,50.0,-162.0,136.0,19.0,24.0,-5.0,43.0
2024_13_SF_BUF,2024,13,2024-12-01,BUF,SF,6.5,45.0,-340.0,270.0,35.0,10.0,25.0,45.0
2024_13_CLE_DEN,2024,13,2024-12-02,DEN,CLE,6.5,41.5,-290.0,235.0,41.0,32.0,9.0,73.0
2024_14_GB_DET,2024,14,2024-12-05,DET,GB,3.0,53.0,-170.0,142.0,34.0,31.0,3.0,65.0
2024_14_NYJ_MIA,2024,14,2024-12-08,MIA,NYJ,6.5,45.0,-298.0,240.0,32.0,26.0,6.0,58.0
2024_14_ATL_MIN,2024,14,2024-12-08,MIN,ATL,6.0,46.5,-250.0,205.0,42.0,21.0,21.0,63.0
2024_14_NO_NYG,2024,14,2024-12-08,NYG,NO,-5.5,41.0,200.0,-245.0,11.0,14.0,-3.0,25.0
2024_14_CAR_PHI,2024,14,2024-12-08,PHI,CAR,14.0,44.5,-950.0,625.0,22.0,16.0,6.0,38.0
2024_14_CLE_PIT,2024,14,2024-12-08,PIT,CLE,6.0,43.0,-258.0,210.0,27.0,14.0,13.0,41.0
2024_14_LV_TB,2024,14,2024-12-08,TB,LV,7.0,47.0,-325.0,260.0,28.0,13.0,15.0,41.0
2024_14_JAX_TEN,2024,14,2024-12-08,TEN,JAX,3.0,40.0,-170.0,142.0,6.0,10.0,-4.0,16.0
2024_14_SEA_ARI,2024,14,2024-12-08,ARI,SEA,3.0,45.5,-175.0,145.0,18.0,30.0,-12.0,48.0
2024_14_BUF_LA,2024,14,2024-12-08,LA,BUF,-3.5,49.5,160.0,-192.0,44.0,42.0,2.0,86.0
2024_14_CHI_SF,2024,14,2024-12-08,SF,CHI,3.0,43.5,-162.0,136.0,38.0,13.0,25.0,51.0
2024_14_LAC_KC,2024,14,2024-12-08,KC,LAC,5.0,43.5,-238.0,195.0,19.0,17.0,2.0,36.0
2024_14_CIN_DAL,2024,14,2024-12-09,DAL,CIN,-5.0,51.0,190.0,-230.0,20.0,27.0,-7.0,47.0
2024_15_LA_SF,2024,15,2024-12-12,SF,LA,3.0,48.5,-155.0,130.0,6.0,12.0,-6.0,18.0
2024_15_DAL_CAR,2024,15,2024-12-15,CAR,DAL,2.5,42.0,-142.0,120.0,14.0,30.0,-16.0,44.0
